Provinsi;Tahun;IPM;Harapan Hidup
KEP. RIAU;2016;73.99;69.45
DKI JAKARTA;2016;79.6;72.49
JAWA BARAT;2016;70.05;72.44
JAWA TENGAH;2016;69.98;74.02
DI YOGYAKARTA;2016;78.38;74.71
JAWA TIMUR;2016;69.74;70.74
BANTEN;2016;70.96;69.46
BALI;2016;73.65;71.41
NUSA TENGGARA BARAT;2016;65.81;65.48
NUSA TENGGARA TIMUR;2016;63.13;66.04
KALIMANTAN BARAT;2016;65.88;69.9
KALIMANTAN TENGAH;2016;69.13;69.57
KALIMANTAN SELATAN;2016;69.05;67.92
KALIMANTAN TIMUR;2016;74.59;73.68
KALIMANTAN UTARA;2016;69.2;72.43
SULAWESI UTARA;2016;71.05;71.02
SULAWESI TENGAH;2016;67.47;67.31
SULAWESI SELATAN;2016;69.76;69.82
SULAWESI TENGGARA;2016;69.31;70.46
GORONTALO;2016;66.29;67.13
SULAWESI BARAT;2016;63.6;64.31
MALUKU;2016;67.6;65.35
MALUKU UTARA;2016;66.63;67.51
PAPUA BARAT;2016;62.21;65.3
PAPUA;2016;58.05;65.12
ACEH;2017;70.6;69.52
SUMATERA UTARA;2017;70.57;68.37
SUMATERA BARAT;2017;71.24;68.78
RIAU;2017;71.79;70.99
JAMBI;2017;69.99;70.76
SUMATERA SELATAN;2017;68.86;69.18
BENGKULU;2017;69.95;68.59
LAMPUNG;2017;68.25;69.95
KEP. BANGKA BELITUNG;2017;69.99;69.95
KEP. RIAU;2017;74.45;69.48
DKI JAKARTA;2017;80.06;72.55
JAWA BARAT;2017;70.69;72.47
JAWA TENGAH;2017;70.52;74.08
DI YOGYAKARTA;2017;78.89;74.74
JAWA TIMUR;2017;70.27;70.8
BANTEN;2017;71.42;69.49
BALI;2017;74.3;71.46
NUSA TENGGARA BARAT;2017;66.58;65.55
NUSA TENGGARA TIMUR;2017;63.73;66.07
KALIMANTAN BARAT;2017;66.26;69.92
KALIMANTAN TENGAH;2017;69.79;69.59
KALIMANTAN SELATAN;2017;69.65;68.02
KALIMANTAN TIMUR;2017;75.12;73.7
KALIMANTAN UTARA;2017;69.84;72.47
SULAWESI UTARA;2017;71.66;71.04
SULAWESI TENGAH;2017;68.11;67.32
SULAWESI SELATAN;2017;70.34;69.84
SULAWESI TENGGARA;2017;69.86;70.47
GORONTALO;2017;67.01;67.14
SULAWESI BARAT;2017;64.3;64.34
MALUKU;2017;68.19;65.4
MALUKU UTARA;2017;67.2;67.54
PAPUA BARAT;2017;62.99;65.32
PAPUA;2017;59.09;65.14
